key,zh,en,ja,de,fr,es,ru
inline.plan295.breathing.use_at_the_start_of_the_day_after_lo.140a8ed1eac9,适合早晨开始、久坐后重新调整呼吸，或学习间隙做基础稳态练习。,"Use at the start of the day, after long sitting, or between study blocks.",朝の始まりや長時間座った後、勉強の合間に使用する。,"Am Tagesanfang, nach langem Sitzen oder zwischen Lerneinheiten verwenden.","Use at the start of the day, after long sitting, or between study blocks.","Use at the start of the day, after long sitting, or between study blocks.","Use at the start of the day, after long sitting, or between study blocks."
inline.plan295.breathing.use_before_focused_work_or_any_time.002b43087cb9,适合进入深度工作前、阅读前，或想把视线和心绪收回来时。,Use before focused work or any time you want to gather your attention back in.,Use before focused work or any time you want to gather your attention back in.,"Vor konzentrierter Arbeit oder jederzeit verwenden, wenn man die Aufmerksamkeit zurückgewinnen möchte.",Use before focused work or any time you want to gather your attention back in.,Use before focused work or any time you want to gather your attention back in.,Use before focused work or any time you want to gather your attention back in.
inline.plan295.breathing.use_between_focus_blocks_or_during_t.7ead68798783,适合番茄钟之间、情绪恢复期、工作和休息转换时。,Use between focus blocks or during transitions between work and recovery.,集中ブロックの間や、作業と回復の移行時に使用します。,Verwenden Sie es zwischen Fokusblöcken oder während Übergängen zwischen Arbeit und Erholung.,Use between focus blocks or during transitions between work and recovery.,Use between focus blocks or during transitions between work and recovery.,Use between focus blocks or during transitions between work and recovery.
inline.plan295.breathing.use_for_a_few_minutes_right_before_s.715aa34974f8,适合临睡前 3-5 分钟；如果长屏息让你紧张，立刻改用“睡前轻缓 4-6”。,Use for a few minutes right before sleep; switch to Bedtime 4-6 if the long hold feels too strong.,Use for a few minutes right before sleep; switch to Bedtime 4-6 if the long hold feels too strong.,Einige Minuten direkt vor dem Schlafengehen verwenden; bei zu starkem Gefühl der langen Haltezeit auf Bedtime 4-6 wechseln.,Use for a few minutes right before sleep; switch to Bedtime 4-6 if the long hold feels too strong.,Use for a few minutes right before sleep; switch to Bedtime 4-6 if the long hold feels too strong.,Use for a few minutes right before sleep; switch to Bedtime 4-6 if the long hold feels too strong.
inline.plan295.breathing.use_only_as_a_brief_daytime_drill_wh.a52fc7649a54,只适合白天、静坐或安全站立时短练；更适合已经完成过 BOLT 测试且知道自己余量的人。,"Use only as a brief daytime drill while seated or standing safely, ideally after a recent BOLT check so you know your margin.","Use only as a brief daytime drill while seated or standing safely, ideally after a recent BOLT check so you know your margin.","Verwende es nur als kurze Tagesübung im Sitzen oder sicheren Stehen, idealerweise nach einer kürzlichen BOLT-Kontrolle, damit du deine Reserve kennst.","Use only as a brief daytime drill while seated or standing safely, ideally after a recent BOLT check so you know your margin.","Use only as a brief daytime drill while seated or standing safely, ideally after a recent BOLT check so you know your margin.","Use only as a brief daytime drill while seated or standing safely, ideally after a recent BOLT check so you know your margin."
inline.plan295.breathing.use_when_emotions_are_elevated_and_y.5643801e4267,适合临时平息情绪、会议前心跳偏快，或刚从压力消息里出来时。,Use when emotions are elevated and you need a quick downshift.,Use when emotions are elevated and you need a quick downshift.,"Verwende es, wenn die Emotionen hoch sind und du eine schnelle Beruhigung brauchst.",Use when emotions are elevated and you need a quick downshift.,Use when emotions are elevated and you need a quick downshift.,Use when emotions are elevated and you need a quick downshift.
inline.plan295.breathing.when_you_are_already_activated_long.cd0f386c4646,在已经紧张的时候，不带长屏息的长呼气模式通常更容易坚持。,"When you are already activated, long-exhale patterns without long holds are often easier to sustain.","When you are already activated, long-exhale patterns without long holds are often easier to sustain.","Wenn du bereits aktiviert bist, sind Muster mit langem Ausatmen ohne lange Pausen oft leichter aufrechtzuerhalten.","When you are already activated, long-exhale patterns without long holds are often easier to sustain.","When you are already activated, long-exhale patterns without long holds are often easier to sustain.","When you are already activated, long-exhale patterns without long holds are often easier to sustain."
inline.plan295.crypto.a_security_hub_for_steganography_enc.96312ff54543,面向隐写、加密、解密、密钥与校验的安全工具中心；当前先迁入媒体隐写子模块。,"A security hub for steganography, encryption, decryption, keys, and verification; media steganography is the first migrated module.",ステガノグラフィ、暗号化、復号、鍵、検証のためのセキュリティハブ。メディアステガノグラフィは最初に移行されたモジュールです。,"A security hub for steganography, encryption, decryption, keys, and verification; media steganography is the first migrated module.","A security hub for steganography, encryption, decryption, keys, and verification; media steganography is the first migrated module.","A security hub for steganography, encryption, decryption, keys, and verification; media steganography is the first migrated module.","A security hub for steganography, encryption, decryption, keys, and verification; media steganography is the first migrated module."
inline.plan295.crypto.a_stego_media_file_is_ready_to_expor.30d737047505,已生成可导出的隐写媒体。,A stego media file is ready to export.,ステガメディアファイルがエクスポートの準備完了です。,A stego media file is ready to export.,A stego media file is ready to export.,A stego media file is ready to export.,A stego media file is ready to export.
inline.plan295.crypto.advanced_crypto.3f9a90e0b348,高级加密参数,Advanced crypto,高度な暗号,Advanced crypto,Advanced crypto,Advanced crypto,Advanced crypto
inline.plan295.crypto.after_embedding_or_revealing_payload.882367be609c,执行写入或还原后，这里会显示载荷、算法和导出状态。,"After embedding or revealing, payload metrics and algorithm details appear here.",埋め込みまたは表示の後、ペイロードのメトリクスとアルゴリズムの詳細がここに表示されます。,"After embedding or revealing, payload metrics and algorithm details appear here.","After embedding or revealing, payload metrics and algorithm details appear here.","After embedding or revealing, payload metrics and algorithm details appear here.","After embedding or revealing, payload metrics and algorithm details appear here."
inline.plan295.crypto.after_embedding_or_revealing_payload.faf76c822ad6,执行写入或还原后，这里会显示载荷信息和文本结果。,"After embedding or revealing, payload metrics and text appear here.",埋め込みまたは表示の後、ペイロードのメトリクスとテキストがここに表示されます。,"After embedding or revealing, payload metrics and text appear here.","After embedding or revealing, payload metrics and text appear here.","After embedding or revealing, payload metrics and text appear here.","After embedding or revealing, payload metrics and text appear here."
inline.plan295.crypto.algorithm.8435288f5f2f,算法,Algorithm,アルゴリズム,Algorithm,Algorithm,Algorithm,Algorithm
inline.plan295.crypto.audio_and_video_show_file_state_here.929cd3bce02f,音频和视频当前显示文件状态，导出后可用系统播放器打开。,Audio and video show file state here; exported files can be opened in system players.,Audio and video show file state here; exported files can be opened in system players.,Audio and video show file state here; exported files can be opened in system players.,Audio and video show file state here; exported files can be opened in system players.,Audio and video show file state here; exported files can be opened in system players.,Audio and video show file state here; exported files can be opened in system players.
inline.plan295.crypto.audio.253158c06f3c,音频,Audio,音声,Audio,Audio,Audio,Audio
inline.plan295.crypto.available_modules.f92f97f00fd0,已接入子模块,Available modules,利用可能なモジュール,Available modules,Available modules,Available modules,Available modules
inline.plan295.crypto.boundaries.c3b0bac973d2,边界说明,Boundaries,Boundaries,Boundaries,Boundaries,Boundaries,Boundaries
inline.plan295.crypto.browser_download_started_check_your.9c21a0a61aae,浏览器下载已触发，请查看下载列表。载体已从内存卸载。,Browser download started. Check your downloads. The carrier has been unloaded from memory.,Browser download started. Check your downloads. The carrier has been unloaded from memory.,Browser download started. Check your downloads. The carrier has been unloaded from memory.,Browser download started. Check your downloads. The carrier has been unloaded from memory.,Browser download started. Check your downloads. The carrier has been unloaded from memory.,Browser download started. Check your downloads. The carrier has been unloaded from memory.
inline.plan295.crypto.browser_download_started_check_your.b28d392515b4,浏览器下载已触发，请查看下载列表。,Browser download started. Check your downloads.,ブラウザのダウンロードが開始されました。ダウンロードを確認してください。,Browser download started. Check your downloads.,Browser download started. Check your downloads.,Browser download started. Check your downloads.,Browser download started. Check your downloads.
inline.plan295.crypto.bytes.ac32cd01a7f2,字节长度,Bytes,バイト,Bytes,Bytes,Bytes,Bytes
inline.plan295.crypto.calculate_hash.c14e85390338,计算哈希,Calculate hash,ハッシュを計算,Calculate hash,Calculate hash,Calculate hash,Calculate hash
inline.plan295.crypto.can_be_combined_with_a_key_file_and.1ffed2ca72be,口令可与密钥文件叠加使用，解密时必须一致。,Can be combined with a key file and must match for decryption.,Can be combined with a key file and must match for decryption.,Can be combined with a key file and must match for decryption.,Can be combined with a key file and must match for decryption.,Can be combined with a key file and must match for decryption.,Can be combined with a key file and must match for decryption.
inline.plan295.crypto.capacity.087427ad50cb,容量,Capacity,容量,Capacity,Capacity,Capacity,Capacity
inline.plan295.crypto.carrier_and_text.8ff488c78d48,载体与文本,Carrier and text,キャリアとテキスト,Carrier and text,Carrier and text,Carrier and text,Carrier and text
inline.plan295.crypto.carrier.6550a85a589f,媒介,Carrier,キャリア,Carrier,Carrier,Carrier,Carrier
inline.plan295.crypto.carrier.74dd5c193871,载体,Carrier,キャリア,Carrier,Carrier,Carrier,Carrier
inline.plan295.crypto.checking_carrier_capacity.ff0b23d0b83f,正在检查载体容量...,Checking carrier capacity...,Checking carrier capacity...,Checking carrier capacity...,Checking carrier capacity...,Checking carrier capacity...,Checking carrier capacity...
inline.plan295.crypto.clear_cover_file.51459c53e3aa,清空表层文件,Clear cover file,Clear cover file,Clear cover file,Clear cover file,Clear cover file,Clear cover file
inline.plan295.crypto.clear_file.b10cbf37539f,清空文件,Clear file,Clear file,Clear file,Clear file,Clear file,Clear file
inline.plan295.crypto.clear_key_files.6d4d47f368c7,清空密钥文件,Clear key files,キーファイルをクリア,Clear key files,Clear key files,Clear key files,Clear key files
inline.plan295.crypto.cover_layer_text.54090799a895,表层文本,Cover layer text,カバーレイヤーテキスト,Cover layer text,Cover layer text,Cover layer text,Cover layer text
inline.plan295.crypto.cover_passphrase.42c7b5942bac,表层口令,Cover passphrase,カバーパスフレーズ,Cover passphrase,Cover passphrase,Cover passphrase,Cover passphrase
inline.plan295.crypto.crypto_stage.1c23c0810f0a,加密工作台,Crypto stage,暗号ステージ,Crypto stage,Crypto stage,Crypto stage,Crypto stage
inline.plan295.crypto.custom_cascade_encrypts_in_the_order.5ccc9729aa9e,自由级联会按下方顺序逐层加密，每层独立派生所选长度的密钥材料。,"Custom cascade encrypts in the order below, deriving independent key material for every stage.",カスタムカスケードは以下の順序で暗号化し、各段階ごとに独立した鍵素材を生成します。,"Custom cascade encrypts in the order below, deriving independent key material for every stage.","Custom cascade encrypts in the order below, deriving independent key material for every stage.","Custom cascade encrypts in the order below, deriving independent key material for every stage.","Custom cascade encrypts in the order below, deriving independent key material for every stage."
inline.plan295.crypto.custom_cascade.d93fe5b2930c,自由级联,Custom cascade,Custom cascade,Custom cascade,Custom cascade,Custom cascade,Custom cascade
inline.plan295.crypto.decrypt.30d8321efe61,解密,Decrypt,復号,Decrypt,Decrypt,Decrypt,Decrypt
inline.plan295.crypto.dual_layer_mode_writes_cover_and_hid.688598b49f5a,双层模式会写入表层与深层两份载荷。请保存原始载体；修改双层内容时应重新生成，不要重复写入同一隐写文件。,Dual-layer mode writes cover and hidden payloads. Keep the original carrier; regenerate from it instead of writing into an existing stego file.,二重レイヤーモードはカバーおよび隠しペイロードを書き込みます。元のキャリアを保持してください。既存のステガファイルに書き込むのではなく、そこから再生成してください。,Dual-layer mode writes cover and hidden payloads. Keep the original carrier; regenerate from it instead of writing into an existing stego file.,Dual-layer mode writes cover and hidden payloads. Keep the original carrier; regenerate from it instead of writing into an existing stego file.,Dual-layer mode writes cover and hidden payloads. Keep the original carrier; regenerate from it instead of writing into an existing stego file.,Dual-layer mode writes cover and hidden payloads. Keep the original carrier; regenerate from it instead of writing into an existing stego file.
inline.plan295.crypto.dual_layer_writing_creates_cover_and.e6e32eee8b05,双层写入会生成表层与深层两份载荷；不同口令会还原不同层。,Dual-layer writing creates cover and hidden payloads; different passphrases reveal different layers.,Dual-layer writing creates cover and hidden payloads; different passphrases reveal different layers.,Dual-layer writing creates cover and hidden payloads; different passphrases reveal different layers.,Dual-layer writing creates cover and hidden payloads; different passphrases reveal different layers.,Dual-layer writing creates cover and hidden payloads; different passphrases reveal different layers.,Dual-layer writing creates cover and hidden payloads; different passphrases reveal different layers.
inline.plan295.crypto.dual_layer.9d7703c2e1ed,双层可否认模式,Dual layer,二重レイヤー,Dual layer,Dual layer,Dual layer,Dual layer
inline.plan295.crypto.ecdsa_signature.703fd2ae2949,包内 ECDSA 校验,Package-local ECDSA check,Package-local ECDSA check,Package-local ECDSA check,Package-local ECDSA check,Package-local ECDSA check,Package-local ECDSA check
inline.plan295.crypto.embed_file.0f9a763c4665,写入文件,Embed file,ファイルを埋め込む,Embed file,Embed file,Embed file,Embed file
inline.plan295.crypto.embed_file.74e82c21375c,文件写入,Embed file,ファイルを埋め込む,Embed file,Embed file,Embed file,Embed file
inline.plan295.crypto.embed_secret.d269b139d092,写入密文,Embed secret,秘密を埋め込む,Embed secret,Embed secret,Embed secret,Embed secret
inline.plan295.crypto.embed.4540f8f9375d,写入,Embed,埋め込む,Embed,Embed,Embed,Embed
inline.plan295.crypto.encrypt.1fc135dfc95f,加密,Encrypt,暗号化,Encrypt,Encrypt,Encrypt,Encrypt
inline.plan295.crypto.encryption.8a35d6135b6c,加密算法,Encryption,暗号化,Encryption,Encryption,Encryption,Encryption
inline.plan295.crypto.expansion_ready.dd905eb8f2d1,预留扩展,Expansion-ready,拡張対応,Expansion-ready,Expansion-ready,Expansion-ready,Expansion-ready
inline.plan295.crypto.explicitly_writes_cover_and_hidden_c.a293ba98ad55,显式写入表层与深层两份内容；表层口令只还原表层内容。,Explicitly writes cover and hidden content; the cover passphrase reveals only the cover layer.,カバーと隠しコンテンツを明示的に書き込みます。カバーパスフレーズはカバーレイヤーのみを表示します。,Explicitly writes cover and hidden content; the cover passphrase reveals only the cover layer.,Explicitly writes cover and hidden content; the cover passphrase reveals only the cover layer.,Explicitly writes cover and hidden content; the cover passphrase reveals only the cover layer.,Explicitly writes cover and hidden content; the cover passphrase reveals only the cover layer.
inline.plan295.crypto.export.0aea636010e0,导出文件,Export,エクスポート,Export,Export,Export,Export
inline.plan295.crypto.export.f7657dd92440,导出结果,Export,エクスポート,Export,Export,Export,Export
inline.plan295.crypto.extreme.9e40ee107b5e,极限,Extreme,極限,Extreme,Extreme,Extreme,Extreme
inline.plan295.crypto.file_crypto.4c82d6da1401,文件加密,File crypto,File crypto,File crypto,File crypto,File crypto,File crypto
inline.plan295.crypto.file_into_media.b8fde19df9ee,文件写入媒体,File into media,メディアにファイルを書き込む,File into media,File into media,File into media,File into media
inline.plan295.crypto.file_result.aeb81128e66e,文件结果,File result,ファイル結果,File result,File result,File result,File result
inline.plan295.crypto.function.3610cd5968f2,功能,Function,機能,Function,Function,Function,Function
inline.plan295.crypto.generate_key_file.06f29dbbe70e,生成密钥文件,Generate key file,キーファイルを生成,Generate key file,Generate key file,Generate key file,Generate key file
inline.plan295.crypto.generate_stego.388ccea2136d,生成隐写媒体,Generate stego,ステゴを生成,Generate stego,Generate stego,Generate stego,Generate stego
inline.plan295.crypto.generate.5b935d8599b2,生成,Generate,生成,Generate,Generate,Generate,Generate
inline.plan295.crypto.hash_algorithm.86a4a467de16,哈希算法,Hash algorithm,ハッシュアルゴリズム,Hash algorithm,Hash algorithm,Hash algorithm,Hash algorithm
inline.plan295.crypto.hash_digest.90114149c380,哈希校验,Hash digest,ハッシュダイジェスト,Hash digest,Hash digest,Hash digest,Hash digest
inline.plan295.crypto.hash_result.f13a54ecd693,哈希结果,Hash result,Hash result,Hash result,Hash result,Hash result,Hash result
inline.plan295.crypto.hash.c499c69bcca6,哈希,Hash,Hash,Hash,Hash,Hash,Hash
inline.plan295.crypto.hex_and_base64_digests_appear_after.02e03fad9a32,计算后会显示十六进制和 Base64 摘要。,Hex and Base64 digests appear after calculation.,Hex and Base64 digests appear after calculation.,Hex and Base64 digests appear after calculation.,Hex and Base64 digests appear after calculation.,Hex and Base64 digests appear after calculation.,Hex and Base64 digests appear after calculation.
inline.plan295.crypto.hidden_layer_text.67996b8e305d,深层隐藏文本,Hidden layer text,隠しレイヤーテキスト,Hidden layer text,Hidden layer text,Hidden layer text,Hidden layer text
inline.plan295.crypto.hidden_passphrase.e7d401009cf7,深层口令,Hidden passphrase,隠しパスフレーズ,Hidden passphrase,Hidden passphrase,Hidden passphrase,Hidden passphrase
inline.plan295.crypto.image_preview.0bc6c6304b1c,图片预览,Image preview,Image preview,Image preview,Image preview,Image preview,Image preview
inline.plan295.crypto.image.baebdc30e7e4,图片,Image,画像,Image,Image,Image,Image
inline.plan295.crypto.key_bits.187269d6b250,密钥材料,Key bits,キービット,Key bits,Key bits,Key bits,Key bits
inline.plan295.crypto.key_file_length_must_be_a_number.d99d926bec5a,密钥文件长度必须是数字。,Key file length must be a number.,キーファイルの長さは数値でなければなりません。,Key file length must be a number.,Key file length must be a number.,Key file length must be a number.,Key file length must be a number.
inline.plan295.crypto.local_first.112fb08c91e5,本地处理,Local-first,ローカル優先,Local-first,Local-first,Local-first,Local-first
inline.plan295.crypto.locator_algorithm.111bf25c9873,定位密钥算法,Locator algorithm,ロケータアルゴリズム,Locator algorithm,Locator algorithm,Locator algorithm,Locator algorithm
inline.plan295.crypto.locator_strength.1a07a07caf35,定位密钥强度,Locator strength,ロケータ強度,Locator strength,Locator strength,Locator strength,Locator strength
inline.plan295.crypto.mac_hash.f7ae2017d6ed,校验哈希,MAC hash,MACハッシュ,MAC hash,MAC hash,MAC hash,MAC hash
inline.plan295.crypto.media_preview.51b3df5ad671,媒体预览,Media preview,Media preview,Media preview,Media preview,Media preview,Media preview
inline.plan295.crypto.media_steganography.ae000f7887ea,图片/音频/视频隐写,Media steganography,メディアステガノグラフィ,Media steganography,Media steganography,Media steganography,Media steganography
inline.plan295.crypto.media_to_reveal.482a64631786,待还原媒体,Media to reveal,表示するメディア,Media to reveal,Media to reveal,Media to reveal,Media to reveal
inline.plan295.crypto.media_type.a93164fdf789,媒体类型,Media type,メディアタイプ,Media type,Media type,Media type,Media type
inline.plan295.crypto.must_differ_from_the_hidden_passphra.6ffee4a44b43,表层口令必须与深层口令不同；表层不使用当前密钥文件。,Must differ from the hidden passphrase. The cover layer does not use the selected key file.,隠されたパスフレーズと異なる必要があります。カバー層は選択されたキーファイルを使用しません。,Must differ from the hidden passphrase. The cover layer does not use the selected key file.,Must differ from the hidden passphrase. The cover layer does not use the selected key file.,Must differ from the hidden passphrase. The cover layer does not use the selected key file.,Must differ from the hidden passphrase. The cover layer does not use the selected key file.
inline.plan295.crypto.no_carrier_media_selected_yet.c4a640e196b0,尚未选择载体媒体。,No carrier media selected yet.,まだキャリアメディアが選択されていません。,No carrier media selected yet.,No carrier media selected yet.,No carrier media selected yet.,No carrier media selected yet.
inline.plan295.crypto.no_cover_file_selected_yet.144f37e90cec,尚未选择表层文件。,No cover file selected yet.,まだカバーファイルが選択されていません。,No cover file selected yet.,No cover file selected yet.,No cover file selected yet.,No cover file selected yet.
inline.plan295.crypto.no_encryption.86752caad95a,不加密,No encryption,暗号化なし,No encryption,No encryption,No encryption,No encryption
inline.plan295.crypto.no_file_selected_yet.c331376825ef,尚未选择文件。,No file selected yet.,まだファイルが選択されていません。,No file selected yet.,No file selected yet.,No file selected yet.,No file selected yet.
inline.plan295.crypto.no_key_files_selected.618b460527ba,尚未选择密钥文件。,No key files selected.,No key files selected.,No key files selected.,No key files selected.,No key files selected.,No key files selected.
inline.plan295.crypto.no_media_selected_yet.d02fab4a20b3,尚未选择媒体。,No media selected yet.,まだメディアが選択されていません。,No media selected yet.,No media selected yet.,No media selected yet.,No media selected yet.
inline.plan295.crypto.no_preview.b2c10e9d539d,暂无预览,No preview,プレビューなし,No preview,No preview,No preview,No preview
inline.plan295.crypto.no_result_yet.ec5979dbfff5,暂无结果。,No result yet.,まだ結果はありません。,No result yet.,No result yet.,No result yet.,No result yet.
inline.plan295.crypto.only_this_content_is_shown_when_reve.df0a084f484a,使用表层口令还原时只显示这段内容。,Only this content is shown when revealing with the cover passphrase.,カバーパスフレーズで表示すると、この内容だけが表示されます。,Only this content is shown when revealing with the cover passphrase.,Only this content is shown when revealing with the cover passphrase.,Only this content is shown when revealing with the cover passphrase.,Only this content is shown when revealing with the cover passphrase.
inline.plan295.crypto.output_est.55ee8a4f2cab,预计输出,Output est.,Output est.,Output est.,Output est.,Output est.,Output est.
inline.plan295.crypto.output.c96e3b239a69,结果文件,Output,出力,Output,Output,Output,Output
inline.plan295.crypto.passphrase.92b3035c1d12,口令,Passphrase,パスフレーズ,Passphrase,Passphrase,Passphrase,Passphrase
inline.plan295.crypto.payload_est.a432d1159362,预计载荷,Payload est.,ペイロード推定,Payload est.,Payload est.,Payload est.,Payload est.
inline.plan295.crypto.payload.c49239eb0674,载荷,Payload,ペイロード,Payload,Payload,Payload,Payload
inline.plan295.crypto.pick_a_carrier_and_a_file_encrypted.a6717f9525c5,选择载体和要隐藏的文件，加密后的文件数据会写入图片、音频或视频。,"Pick a carrier and a file; encrypted file bytes are embedded into image, audio, or video.",キャリアとファイルを選択してください；暗号化されたファイルのバイトが画像、音声、または動画に埋め込まれます。,"Pick a carrier and a file; encrypted file bytes are embedded into image, audio, or video.","Pick a carrier and a file; encrypted file bytes are embedded into image, audio, or video.","Pick a carrier and a file; encrypted file bytes are embedded into image, audio, or video.","Pick a carrier and a file; encrypted file bytes are embedded into image, audio, or video."
inline.plan295.crypto.pick_a_cover_file_first.2c52c7321183,请先选择表层文件。,Pick a cover file first.,Pick a cover file first.,Pick a cover file first.,Pick a cover file first.,Pick a cover file first.,Pick a cover file first.
inline.plan295.crypto.pick_a_generated_stego_media_file_an.4e6ecca4b30f,选择之前生成的隐写媒体，并输入对应口令。,Pick a generated stego media file and enter its passphrase.,生成されたステガメディアファイルを選び、そのパスフレーズを入力してください。,Pick a generated stego media file and enter its passphrase.,Pick a generated stego media file and enter its passphrase.,Pick a generated stego media file and enter its passphrase.,Pick a generated stego media file and enter its passphrase.
inline.plan295.crypto.pick_a_media_file_and_enter_the_text.30c0565a208a,选择一个媒体文件，并输入需要隐藏的文本。,Pick a media file and enter the text to hide.,メディアファイルを選んで、隠すテキストを入力してください。,Pick a media file and enter the text to hide.,Pick a media file and enter the text to hide.,Pick a media file and enter the text to hide.,Pick a media file and enter the text to hide.
inline.plan295.crypto.pick_any_file_and_calculate_a_digest.7236f3988537,选择任意文件并计算摘要，用于校验文件完整性或记录指纹。,Pick any file and calculate a digest for integrity checks.,任意のファイルを選択して、整合性チェックのためにダイジェストを計算します。,Pick any file and calculate a digest for integrity checks.,Pick any file and calculate a digest for integrity checks.,Pick any file and calculate a digest for integrity checks.,Pick any file and calculate a digest for integrity checks.
inline.plan295.crypto.pick_carrier.6e113c7a6d6e,选择载体,Pick carrier,キャリアを選択,Pick carrier,Pick carrier,Pick carrier,Pick carrier
inline.plan295.crypto.pick_cover_file.2a4125dfc302,选择表层文件,Pick cover file,Pick cover file,Pick cover file,Pick cover file,Pick cover file,Pick cover file
inline.plan295.crypto.pick_file.32fb96644740,选择文件,Pick file,ファイルを選択,Pick file,Pick file,Pick file,Pick file
inline.plan295.crypto.pick_generated_stego_media_and_revea.65f0fe1ac220,选择之前生成的隐写媒体，使用相同口令和密钥文件还原文件。,Pick generated stego media and reveal the file with the same passphrase and key file.,生成されたステゴメディアを選択し、同じパスフレーズとキーファイルでファイルを復元します。,Pick generated stego media and reveal the file with the same passphrase and key file.,Pick generated stego media and reveal the file with the same passphrase and key file.,Pick generated stego media and reveal the file with the same passphrase and key file.,Pick generated stego media and reveal the file with the same passphrase and key file.
inline.plan295.crypto.pick_media.8c87c919dd52,选择媒体,Pick media,メディアを選択,Pick media,Pick media,Pick media,Pick media
inline.plan295.crypto.preflight_passed_review_capacity_out.3269f78636b0,预检已通过；生成前可核对容量、输出大小和层级。,"Preflight passed. Review capacity, output size, and layers before export.",事前チェック合格。エクスポート前に容量、出力サイズ、レイヤーを確認してください。,"Preflight passed. Review capacity, output size, and layers before export.","Preflight passed. Review capacity, output size, and layers before export.","Preflight passed. Review capacity, output size, and layers before export.","Preflight passed. Review capacity, output size, and layers before export."
inline.plan295.crypto.preview_write.01a4546d7dc0,预览写入,Preview write,書き込みをプレビュー,Preview write,Preview write,Preview write,Preview write
inline.plan295.crypto.rc4_legacy.4fb4fec5554f,RC4 兼容,RC4 legacy,RC4レガシー,RC4 legacy,RC4 legacy,RC4 legacy,RC4 legacy
inline.plan295.crypto.recommended_at_least_256_bytes_range.d52faaf90aec,建议至少 256 字节，可输入 32 到 1048576。,Recommended: at least 256 bytes. Range: 32 to 1048576.,推奨: 少なくとも256バイト。範囲: 32〜1048576。,Recommended: at least 256 bytes. Range: 32 to 1048576.,Recommended: at least 256 bytes. Range: 32 to 1048576.,Recommended: at least 256 bytes. Range: 32 to 1048576.,Recommended: at least 256 bytes. Range: 32 to 1048576.
inline.plan295.crypto.restore_file_from_media.4c481022de02,从媒体还原文件,Restore file from media,メディアからファイルを復元,Restore file from media,Restore file from media,Restore file from media,Restore file from media
inline.plan295.crypto.reveal_file.30110309c176,还原文件,Reveal file,ファイルを表示,Reveal file,Reveal file,Reveal file,Reveal file
inline.plan295.crypto.reveal_file.9b10709f7962,文件还原,Reveal file,ファイルを表示,Reveal file,Reveal file,Reveal file,Reveal file
inline.plan295.crypto.reveal_message.8ac6fa6d6d32,还原信息,Reveal message,メッセージを表示,Reveal message,Reveal message,Reveal message,Reveal message
inline.plan295.crypto.reveal_text.1382920ca59b,还原文本,Reveal text,テキストを表示,Reveal text,Reveal text,Reveal text,Reveal text
inline.plan295.crypto.reveal.4317a923361e,还原,Reveal,表示する,Reveal,Reveal,Reveal,Reveal
inline.plan295.crypto.safety_plaintext_payloads_are_not_en.c9d14d506bae,安全性: 明文。不会加密 payload，生成前会再次确认；任何拿到载体的人都可能还原内容。,Safety: plaintext. Payloads are not encrypted and generation asks for confirmation; anyone with the carrier may recover the content.,Safety: plaintext. Payloads are not encrypted and generation asks for confirmation; anyone with the carrier may recover the content.,Safety: plaintext. Payloads are not encrypted and generation asks for confirmation; anyone with the carrier may recover the content.,Safety: plaintext. Payloads are not encrypted and generation asks for confirmation; anyone with the carrier may recover the content.,Safety: plaintext. Payloads are not encrypted and generation asks for confirmation; anyone with the carrier may recover the content.,Safety: plaintext. Payloads are not encrypted and generation asks for confirmation; anyone with the carrier may recover the content.
inline.plan295.crypto.safety_strong_uses_at_least_256_bit.613a35fa8bda,安全性: 强。默认 256-bit 以上密钥材料，使用随机盐、随机填充和认证校验。,"Safety: strong. Uses at least 256-bit key material, random salt, random padding, and authentication.","Safety: strong. Uses at least 256-bit key material, random salt, random padding, and authentication.","Safety: strong. Uses at least 256-bit key material, random salt, random padding, and authentication.","Safety: strong. Uses at least 256-bit key material, random salt, random padding, and authentication.","Safety: strong. Uses at least 256-bit key material, random salt, random padding, and authentication.","Safety: strong. Uses at least 256-bit key material, random salt, random padding, and authentication."
inline.plan295.crypto.safety_strong_uses_scrypt_from_2_16.8feed7f300b8,安全性: 强+。使用 scrypt 2^16 起步、随机填充、独立派生密钥材料和认证校验。,"Safety: strong+. Uses scrypt from 2^16, random padding, independent key material, and authentication.","Safety: strong+. Uses scrypt from 2^16, random padding, independent key material, and authentication.","Safety: strong+. Uses scrypt from 2^16, random padding, independent key material, and authentication.","Safety: strong+. Uses scrypt from 2^16, random padding, independent key material, and authentication.","Safety: strong+. Uses scrypt from 2^16, random padding, independent key material, and authentication.","Safety: strong+. Uses scrypt from 2^16, random padding, independent key material, and authentication."
inline.plan295.crypto.safety_weak_reveal_only_for_legacy_p.61ee18060c48,安全性: 弱，仅用于旧载荷还原；新加密已移除。,"Safety: weak, reveal-only for legacy payloads. New encryption has been removed.","Safety: weak, reveal-only for legacy payloads. New encryption has been removed.","Safety: weak, reveal-only for legacy payloads. New encryption has been removed.","Safety: weak, reveal-only for legacy payloads. New encryption has been removed.","Safety: weak, reveal-only for legacy payloads. New encryption has been removed.","Safety: weak, reveal-only for legacy payloads. New encryption has been removed."
