key,flag,zh,en
"toolbox.life.timeline.brief24.brief24_029_017c58f3c8.detail","EN_HAS_CJK","魏书　北齐书　周书　隋书：北齐帝系，时段为 550-577。主要内容：高欢；文宣帝高洋；废帝高殷；孝昭帝高演；武成帝高湛；后主高纬；幼主高恒。","魏书　北齐书　周书　隋书：北齐帝系; span 550-577. Main contents: 高欢；文宣帝高洋；废帝高殷；孝昭帝高演；武成帝高湛；后主高纬；幼主高恒."
"toolbox.life.timeline.brief24.brief24_030_ea36fe756c.display","ZH_NO_CJK","557-581","AD 557–581"
"toolbox.life.timeline.brief24.brief24_030_ea36fe756c.detail","EN_HAS_CJK","魏书　北齐书　周书　隋书：周帝系，时段为 557-581。主要内容：宇文泰；孝闵帝宇文觉；明帝宇文毓；武帝宇文邕；宣帝宇文赞；静帝宇文阐。","魏书　北齐书　周书　隋书：周帝系; span 557-581. Main contents: 宇文泰；孝闵帝宇文觉；明帝宇文毓；武帝宇文邕；宣帝宇文赞；静帝宇文阐."
"toolbox.life.timeline.brief24.brief24_031_88e00dec78.display","ZH_NO_CJK","581-618","AD 581–618"
"toolbox.life.timeline.brief24.brief24_031_88e00dec78.detail","EN_HAS_CJK","魏书　北齐书　周书　隋书：隋帝系，时段为 581-618。主要内容：文帝杨坚；炀帝杨广；元德太子杨昭；恭帝（代王）杨；失；宋魏时期中心区域图；完；乌；水；难；高；车；（敕；勒）；洛；燕；安贝；韦。","魏书　北齐书　周书　隋书：隋帝系; span 581-618. Main contents: 文帝杨坚；炀帝杨广；元德太子杨昭；恭帝（代王）杨；失；宋魏时期中心区域图；完；乌；水；难；高；车；（敕；勒）；洛；燕；安贝；韦."
"toolbox.life.timeline.brief24.brief24_032_0c17c67151.display","ZH_NO_CJK","618-907","AD 618–907"
"toolbox.life.timeline.brief24.brief24_032_0c17c67151.detail","EN_HAS_CJK","唐书：唐帝系，时段为 618-907。主要内容：高祖李渊；太宗李世民；高宗李治；中宗李显；睿宗李旦；武则天；殇帝李重茂；玄宗李隆基；肃宗李亨；代宗李豫；德宗李适；顺宗李诵；※中宗李显、睿宗李旦均两次为帝。；宪宗李纯；穆宗李恒；敬宗李湛；文宗李昂；武宗李炎（）。","唐书：唐帝系; span 618-907. Main contents: 高祖李渊；太宗李世民；高宗李治；中宗李显；睿宗李旦；武则天；殇帝李重茂；玄宗李隆基；肃宗李亨；代宗李豫；德宗李适；顺宗李诵；※中宗李显、睿宗李旦均两次为帝。；宪宗李纯；穆宗李恒；敬宗李湛；文宗李昂；武宗李炎（）."
"toolbox.life.timeline.brief24.brief24_033_c433be87a5.display","ZH_NO_CJK","907-960","AD 907–960"
"toolbox.life.timeline.brief24.brief24_033_c433be87a5.detail","EN_HAS_CJK","五代史：五代帝系，时段为 907-960。主要内容：后梁；太祖朱温；郢王朱友；末帝朱友贞；后唐；李克用；庄宗李存；明宗李嗣源；帝李从厚；废帝李从珂；后晋；高祖石敬塘；出帝石重贵；后汉；高祖刘知远；隐帝刘承祐；后周；太祖郭威。","五代史：五代帝系; span 907-960. Main contents: 后梁；太祖朱温；郢王朱友；末帝朱友贞；后唐；李克用；庄宗李存；明宗李嗣源；帝李从厚；废帝李从珂；后晋；高祖石敬塘；出帝石重贵；后汉；高祖刘知远；隐帝刘承祐；后周；太祖郭威."
"toolbox.life.timeline.brief24.brief24_034_61dba1cc97.display","ZH_NO_CJK","902-979","AD 902–979"
"toolbox.life.timeline.brief24.brief24_034_61dba1cc97.detail","EN_HAS_CJK","五代史：十国君主世系，时段为 902-979。主要内容：吴；太祖杨行密；烈祖杨渥；高祖杨隆演；睿帝杨溥；南唐；烈祖 李昇；元宗 李璟；后主 李煜；前蜀；高祖王建；后主王衍；后蜀；高祖孟知祥；后主孟昶；南汉；高祖刘陟；殇帝刘洪度。","五代史：十国君主世系; span 902-979. Main contents: 吴；太祖杨行密；烈祖杨渥；高祖杨隆演；睿帝杨溥；南唐；烈祖 李昇；元宗 李璟；后主 李煜；前蜀；高祖王建；后主王衍；后蜀；高祖孟知祥；后主孟昶；南汉；高祖刘陟；殇帝刘洪度."
"toolbox.life.timeline.brief24.brief24_035_2c67ebcdc4.display","ZH_NO_CJK","960-1127","AD 960–1127"
"toolbox.life.timeline.brief24.brief24_035_2c67ebcdc4.detail","EN_HAS_CJK","北宋史　南宋史：北宋帝系，时段为 960-1127。主要内容：太祖赵匡胤；太宗赵光义；真宗赵恒；商王赵元份；仁宗赵祯；濮王赵允让；英宗赵曙；神宗赵项；哲宗赵煦；徽宗赵佶；钦宗赵桓；康王赵构（南宋高宗）。","北宋史　南宋史：北宋帝系; span 960-1127. Main contents: 太祖赵匡胤；太宗赵光义；真宗赵恒；商王赵元份；仁宗赵祯；濮王赵允让；英宗赵曙；神宗赵项；哲宗赵煦；徽宗赵佶；钦宗赵桓；康王赵构（南宋高宗）."
"toolbox.life.timeline.brief24.brief24_036_a126f0e8d0.display","ZH_NO_CJK","1127-1279","AD 1127–1279"
"toolbox.life.timeline.brief24.brief24_036_a126f0e8d0.detail","EN_HAS_CJK","北宋史　南宋史：南宋帝系，时段为 1127-1279。主要内容：太祖；太宗；燕王 赵德昭；秦王 赵德芳；高宗赵构；赵子；孝宗赵；光宗赵惊；宁宗赵扩；荣王赵希；理宗赵昀；嗣荣王赵与芮；度宗赵；恭帝赵；端宗赵是；赵；辽北宋；西夏时期中心区域图。","北宋史　南宋史：南宋帝系; span 1127-1279. Main contents: 太祖；太宗；燕王 赵德昭；秦王 赵德芳；高宗赵构；赵子；孝宗赵；光宗赵惊；宁宗赵扩；荣王赵希；理宗赵昀；嗣荣王赵与芮；度宗赵；恭帝赵；端宗赵是；赵；辽北宋；西夏时期中心区域图."
"toolbox.life.timeline.brief24.brief24_037_232927fe4b.display","ZH_NO_CJK","907-1125","AD 907–1125"
"toolbox.life.timeline.brief24.brief24_037_232927fe4b.detail","EN_HAS_CJK","辽史　金史　西夏史：辽帝系，时段为 907-1125。主要内容：太祖耶律阿保机；耶律倍；太宗耶律德光；世宗耶律阮；穆宗耶律璟；景宗耶律贤；圣宗耶律隆绪；兴宗耶律宗真；道宗耶律洪基（弘基）；耶律；天祚帝耶律延禧。","辽史　金史　西夏史：辽帝系; span 907-1125. Main contents: 太祖耶律阿保机；耶律倍；太宗耶律德光；世宗耶律阮；穆宗耶律璟；景宗耶律贤；圣宗耶律隆绪；兴宗耶律宗真；道宗耶律洪基（弘基）；耶律；天祚帝耶律延禧."
"toolbox.life.timeline.brief24.brief24_038_8b86bd5ba6.display","ZH_NO_CJK","1115-1234","AD 1115–1234"
"toolbox.life.timeline.brief24.brief24_038_8b86bd5ba6.detail","EN_HAS_CJK","辽史　金史　西夏史：金帝系，时段为 1115-1234。主要内容：劾里钵；太祖完颜（阿骨打）；太宗完颜晟（吴乞买）；完颜宗峻；熙宗完颜；完颜宗幹；海陵王完颜亮；完颜宗辅；世宗完颜雍；完颜允恭；章宗完颜璟；卫绍王完颜允济；宣宗完颜珣；哀宗完颜守绪；末帝完颜承麟；※系劾里钵诸孙。","辽史　金史　西夏史：金帝系; span 1115-1234. Main contents: 劾里钵；太祖完颜（阿骨打）；太宗完颜晟（吴乞买）；完颜宗峻；熙宗完颜；完颜宗幹；海陵王完颜亮；完颜宗辅；世宗完颜雍；完颜允恭；章宗完颜璟；卫绍王完颜允济；宣宗完颜珣；哀宗完颜守绪；末帝完颜承麟；※系劾里钵诸孙."
"toolbox.life.timeline.brief24.brief24_039_e86062722b.display","ZH_NO_CJK","1032-1227","AD 1032–1227"
"toolbox.life.timeline.brief24.brief24_039_e86062722b.detail","EN_HAS_CJK","辽史　金史　西夏史：西夏帝系，时段为 1032-1227。主要内容：太宗德明；景宗元昊皇帝；毅宗谅祚；惠宗秉常；崇宗乾顺；仁宗仁孝；桓宗纯祐；越王仁友；襄宗安全；某；齐国忠武王彦宗；神宗遵项；献宗德旺；清平郡王某；末帝；※改姓名始称大夏。；辽北宋；西夏时期中心区域图。","辽史　金史　西夏史：西夏帝系; span 1032-1227. Main contents: 太宗德明；景宗元昊皇帝；毅宗谅祚；惠宗秉常；崇宗乾顺；仁宗仁孝；桓宗纯祐；越王仁友；襄宗安全；某；齐国忠武王彦宗；神宗遵项；献宗德旺；清平郡王某；末帝；※改姓名始称大夏。；辽北宋；西夏时期中心区域图."
"toolbox.life.timeline.brief24.brief24_040_09f7c4a3cd.display","ZH_NO_CJK","1206-1370","AD 1206–1370"
"toolbox.life.timeline.brief24.brief24_040_09f7c4a3cd.detail","EN_HAS_CJK","元史：元帝系，时段为 1206-1370。主要内容：元太祖成吉思汗；拖雷监国；元太宗窝阔台；乃马真后监国；元定宗贵由；海迷失后监国；元宪宗蒙哥；元世祖忽必烈；真金；元成宗铁穆耳；答刺麻八刺；甘麻剌；元武宗海山；元仁宗爱育黎拔力八达；元英宗硕德八刺；元泰定帝也孙铁木儿；天顺帝阿刺吉八；元文宗图帖睦尔。","元史：元帝系; span 1206-1370. Main contents: 元太祖成吉思汗；拖雷监国；元太宗窝阔台；乃马真后监国；元定宗贵由；海迷失后监国；元宪宗蒙哥；元世祖忽必烈；真金；元成宗铁穆耳；答刺麻八刺；甘麻剌；元武宗海山；元仁宗爱育黎拔力八达；元英宗硕德八刺；元泰定帝也孙铁木儿；天顺帝阿刺吉八；元文宗图帖睦尔."
"toolbox.life.timeline.brief24.brief24_041_cc0c037e38.display","ZH_NO_CJK","1251-1310","AD 1251–1310"
"toolbox.life.timeline.brief24.brief24_041_cc0c037e38.detail","EN_HAS_CJK","元史：窝阔台汗国，时段为 1251-1310。主要内容：成吉思汗；术赤；察合台；拖雷；窝阔台；哈刺察儿；贵由；合失；合丹；灭里；察忽；脑忽；禾忽；海都；察八儿；仰吉察儿；斡罗思。","元史：窝阔台汗国; span 1251-1310. Main contents: 成吉思汗；术赤；察合台；拖雷；窝阔台；哈刺察儿；贵由；合失；合丹；灭里；察忽；脑忽；禾忽；海都；察八儿；仰吉察儿；斡罗思."
"toolbox.life.timeline.brief24.brief24_042_aeeed22a90.display","ZH_NO_CJK","1225-1370","AD 1225–1370"
"toolbox.life.timeline.brief24.brief24_042_aeeed22a90.detail","EN_HAS_CJK","元史：察合台汗国，时段为 1225-1370。主要内容：成吉思汗；术赤；窝阔台；拖雷；察合台；抹土干；拜答里；撒班；合刺旭烈；也速蒙哥；（妃）兀鲁忽乃（监国）；阿鲁忽；木八刺沙；也孙脱；八刺；不里一合答海；聂古伯；不合帖木儿。","元史：察合台汗国; span 1225-1370. Main contents: 成吉思汗；术赤；窝阔台；拖雷；察合台；抹土干；拜答里；撒班；合刺旭烈；也速蒙哥；（妃）兀鲁忽乃（监国）；阿鲁忽；木八刺沙；也孙脱；八刺；不里一合答海；聂古伯；不合帖木儿."
"toolbox.life.timeline.brief24.brief24_043_8ce4e71a4a.display","ZH_NO_CJK","1243-1361","AD 1243–1361"
"toolbox.life.timeline.brief24.brief24_043_8ce4e71a4a.detail","EN_HAS_CJK","元史：钦察汗国，时段为 1243-1361。主要内容：成占思汗；察合台；窝阔台；拖雷；术赤；斡儿答；撒都不花（首代白帐汗）；额儿曾（白账汗）；木八刺火者（白帐汗）；沉白（白帐汗）；昔班；塔塔儿；那海；脱花帖木儿；秃里火者；儿鲁思汗（白帐汗）；拔都；托托罕。","元史：钦察汗国; span 1243-1361. Main contents: 成占思汗；察合台；窝阔台；拖雷；术赤；斡儿答；撒都不花（首代白帐汗）；额儿曾（白账汗）；木八刺火者（白帐汗）；沉白（白帐汗）；昔班；塔塔儿；那海；脱花帖木儿；秃里火者；儿鲁思汗（白帐汗）；拔都；托托罕."
"toolbox.life.timeline.brief24.brief24_044_855bf538f7.display","ZH_NO_CJK","1264-1265","AD 1264–1265"
"toolbox.life.timeline.brief24.brief24_044_855bf538f7.detail","EN_HAS_CJK","元史：伊利汗国，时段为 1264-1265。主要内容：成吉思汗；术赤；察合台；窝阔台；拖雷；蒙哥（宪宗）；忽必烈（世祖)；旭烈兀；阿里不哥；阿八哈；阿合马；阿鲁浑；海合都；塔刺海；拜都；合赞；完者都；不赛因。","元史：伊利汗国; span 1264-1265. Main contents: 成吉思汗；术赤；察合台；窝阔台；拖雷；蒙哥（宪宗）；忽必烈（世祖)；旭烈兀；阿里不哥；阿八哈；阿合马；阿鲁浑；海合都；塔刺海；拜都；合赞；完者都；不赛因."
"toolbox.life.timeline.brief24.brief24_045_4abace39a3.display","ZH_NO_CJK","1368-1644","AD 1368–1644"
"toolbox.life.timeline.brief24.brief24_045_4abace39a3.detail","EN_HAS_CJK","明史：明帝系，时段为 1368-1644。主要内容：太祖朱元璋；（洪武1368—1398）；朱标（懿文太子）；惠帝朱允；（建文1399—1402）；成祖朱棣；（永乐1403—1424）；仁宗朱高炽；■（洪熙1425）；宣宗朱瞻基；（宣德1426—1435）；英宗朱祁镇；（正统1436—1449）；景帝朱祁钰；（景泰1450—1456）；（天顺1457—1464）；宪宗朱见深；（成化1465—1487）。","明史：明帝系; span 1368-1644. Main contents: 太祖朱元璋；（洪武1368—1398）；朱标（懿文太子）；惠帝朱允；（建文1399—1402）；成祖朱棣；（永乐1403—1424）；仁宗朱高炽；■（洪熙1425）；宣宗朱瞻基；（宣德1426—1435）；英宗朱祁镇；（正统1436—1449）；景帝朱祁钰；（景泰1450—1456）；（天顺1457—1464）；宪宗朱见深；（成化1465—1487）."
"toolbox.life.timeline.brief24.brief24_046_49dc78bb6c.display","ZH_NO_CJK","1644-1850","AD 1644–1850"
"toolbox.life.timeline.brief24.brief24_046_49dc78bb6c.detail","EN_HAS_CJK","清史　一八四〇年前：清帝系，时段为 1644-1850。主要内容：太祖爱新觉罗·努尔哈赤；太宗皇太极；世祖福临；（顺治1644—1661）；圣祖玄烨；（康熙1662—1722）；世宗胤；（雍正1723—1735）；高宗弘历；（乾隆1736一1795）；仁宗琰；（嘉庆1796—1820）；宣宗曼宁；（道光1821—1850）；※本表截止宣宗，宣宗以下帝系列入《晚清史》。；池；子塔尔巴哈台；多。","清史　一八四〇年前：清帝系; span 1644-1850. Main contents: 太祖爱新觉罗·努尔哈赤；太宗皇太极；世祖福临；（顺治1644—1661）；圣祖玄烨；（康熙1662—1722）；世宗胤；（雍正1723—1735）；高宗弘历；（乾隆1736一1795）；仁宗琰；（嘉庆1796—1820）；宣宗曼宁；（道光1821—1850）；※本表截止宣宗，宣宗以下帝系列入《晚清史》。；池；子塔尔巴哈台；多."
"toolbox.life.timeline.brief24.brief24_047_3dadbfd358.display","ZH_NO_CJK","1840-1912","AD 1840–1912"
"toolbox.life.timeline.brief24.brief24_047_3dadbfd358.detail","EN_HAS_CJK","晚清史：晚清帝系，时段为 1840-1912。主要内容：宣宗曼宁；（道光1820—1850）；文宗奕泞；（咸丰1850—1861）；醇亲王奕；穆宗载淳；（同治*1861—1875**）；德宗载活；（光绪1875一1908***）；醇亲王载沣；溥仪；（宣统1908—1912****）；咸丰十一年七月二十九日（1861，9，3）定年号为祺祥，十月初五日（11，7）；改年号为同治。；即位之初由慈安、慈禧两宫皇太后垂帘听政，同治十二年一月二十六日（1873，；2，23）亲政。；即位之初由慈禧太后垂帘听政，光绪十五年二月初三日（1889，3，4）亲政;；光绪二十四年八月初六日（1898，9，21）被囚禁，由慈禧太后重新训政。","晚清史：晚清帝系; span 1840-1912. Main contents: 宣宗曼宁；（道光1820—1850）；文宗奕泞；（咸丰1850—1861）；醇亲王奕；穆宗载淳；（同治*1861—1875**）；德宗载活；（光绪1875一1908***）；醇亲王载沣；溥仪；（宣统1908—1912****）；咸丰十一年七月二十九日（1861，9，3）定年号为祺祥，十月初五日（11，7）；改年号为同治。；即位之初由慈安、慈禧两宫皇太后垂帘听政，同治十二年一月二十六日（1873，；2，23）亲政。；即位之初由慈禧太后垂帘听政，光绪十五年二月初三日（1889，3，4）亲政;；光绪二十四年八月初六日（1898，9，21）被囚禁，由慈禧太后重新训政."
"toolbox.life.timeline.brief24.brief24_048_0723c773dc.display","ZH_NO_CJK","1842-1911","AD 1842–1911"
"toolbox.life.timeline.brief24.brief24_048_0723c773dc.detail","EN_HAS_CJK","晚清史：晚清通商口岸，时段为 1842-1911。主要内容：地点；开埠年；条约名称；备注；广州；《中英南京条约》；福州；同上；厦门；宁波；上海；《中俄伊犁塔尔巴哈台通商章；伊犁；程》；塔尔巴哈台；今塔城；台湾；《中俄天津条约》。","晚清史：晚清通商口岸; span 1842-1911. Main contents: 地点；开埠年；条约名称；备注；广州；《中英南京条约》；福州；同上；厦门；宁波；上海；《中俄伊犁塔尔巴哈台通商章；伊犁；程》；塔尔巴哈台；今塔城；台湾；《中俄天津条约》."
"inline.plan295.life.kilobyte.aac0dfe8c4d6","ZH_NO_CJK","KB","Kilobyte"
"inline.plan295.life.megabyte.606a4379513b","ZH_NO_CJK","MB","Megabyte"
"inline.plan295.life.gigabyte.bdc580a612ed","ZH_NO_CJK","GB","Gigabyte"
"inline.plan295.life.terabyte.9f9b2d8a5ff7","ZH_NO_CJK","TB","Terabyte"
"inline.plan295.life.kibibyte.95d03d1627a6","ZH_NO_CJK","KiB","Kibibyte"
"inline.plan295.life.mebibyte.cc784ed0ac16","ZH_NO_CJK","MiB","Mebibyte"
"inline.plan295.life.gibibyte.a18d7c01420c","ZH_NO_CJK","GiB","Gibibyte"
"inline.plan295.life.tebibyte.6377168d14e0","ZH_NO_CJK","TiB","Tebibyte"
"inline.plan296.ui.pages.toolbox.life.tools.toolbox.life.tools.wallpaper.http.f4827c8db9","ZH_NO_CJK","HTTP {p0}","HTTP {p0}"
"toolbox.sound.focus.quick_presets.meter","ZH_NO_CJK","{bpm} BPM · {beats}/4 ×{subdivision}","{bpm} BPM · {beats}/4 x{subdivision}"
"speech.remote.app_id","ZH_NO_CJK","App ID","App ID"
"speech.remote.voice.doubao_amanda","ZH_NO_CJK+SAME_LONG","Doubao · Amanda","Doubao · Amanda"
"speech.remote.voice.doubao_adam","ZH_NO_CJK+SAME_LONG","Doubao · Adam","Doubao · Adam"
